Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
"Estudo de métodos aplicados a epidemiologia, clínica, diagnóstico, tratamento e prevenção de micobacterioses",FIOCRUZ,Haiana Charifker Schindler,Lílian Maria Lapa Montenegro Pimentel,Medicina
Estudo de Problemas de Equilíbrio e Otimização Multiobjetivo,UFPI,Paulo Sergio Marques dos Santos,Sissy da Silva Souza,Matemática
Estudo de Problemas de Matemática Aplicada e Computacional,UFDPar,Paulo Sergio Marques dos Santos,Sissy da Silva Souza,Matemática
"Estudo de processos inflamatórios e parasitológicos : aspectos de biologia celular, parasitologia, modelos experimentais, novas abordagens e esquemas terapêuticos alternativos",FIOCRUZ,Maria de Nazaré Correia Soeiro,Gabriel Melo de Oliveira,Parasitologia
ESTUDO DE PRODUTOS NATURAIS COM POTENCIAIS BIOTECNOLÓGICOS - PNPBIOTEC,UNILEAO,Aracelio Viana Colares,,Microbiologia
Estudo de protocolos terapêuticos e de diagnóstico da ceratoconjuntivite seca e úlceras de córnea,UNOESTE,Silvia Maria Caldeira Franco Andrade,,Medicina Veterinária
Estudo de RNAs não codificantes no Câncer,UFPR,Jaqueline Carvalho de Oliveira,Daniela Fiori Gradia,Genética
Estudo de Sistemas Biológicos - SISBIOS,UNEB,Maria Dolores Ribeiro Orge,Mara Rojane Barros de Matos,Ecologia
ESTUDO DE STAPHYLOCOCCUS SPP. DE IMPORTÂNCIA MÉDICA ISOLADOS DE INSTITUIÇÕES DE SAÚDE,UFF,Raiane Cardoso Chamon,,Microbiologia
Estudo de Substâncias Bioativas de Interesse Farmacológico,UFCSPA,Jenifer Saffi,,Farmácia
Estudo de Tecnologias - IFS,IFS,Emiliana de Souza Rezende Guedes,Carla Cristina Nascimento Santos Pereira,Engenharia Civil
Estudo de toxicidade in vitro e in vivo de produtos naturais e sintéticos,UNIFAL/MG,Cibele Marli Cação Paiva Gouvêa,,Genética
Estudo do comportamento alimentar de insetos sugadores com o uso do EPG,IF Goiano,André Cirilo de Sousa Almeida,,Agronomia
Estudo do Controle Motor Utilizando Abordagens Multivariáveis,UnB,Rinaldo André Mezzarane,,Educação Física
"Estudo do controle postural, desempenho funcional e prevenção de quedas em diferentes populações adultas",USP,Daniela Cristina Carvalho de Abreu,,Fisioterapia e Terapia Ocupacional
"Estudo do controle postural, funcionalidade e prevenção de quedas em diferentes populações adultas.",USP,Daniela Cristina Carvalho de Abreu,,Fisioterapia e Terapia Ocupacional
Estudo do desenvolvimento infantil,UFSCAR,Nelci Adriana Cicuto Ferreira Rocha,,Fisioterapia e Terapia Ocupacional
Estudo do Movimento Humano,UFV,Osvaldo Costa Moreira,Guilherme de Azambuja Pussieldi,Educação Física
Estudo do músculo estriado,UFMS,Paula Felippe Martinez,Silvio Assis de Oliveira Júnior,Fisioterapia e Terapia Ocupacional
Estudo do Rio de Janeiro,UERJ,Andréa Araujo Brandão,,Medicina
Estudo do Sistema Nervoso Central em modelos animais da Doença de Parkinson,UFF,Manuel Gustavo Leitão Ribeiro,,Bioquímica
Estudo dos aspectos moleculares e morfofuncionais dos gametas voltados à contribuição no desenvolvimento embrionário.,UNESP,Thais Rose dos Santos Hamilton,,Medicina Veterinária
Estudo dos biomateriais,UFES,Bruno Machado de Carvalho,,Odontologia
Estudo dos Cnidaria,USP,André Carrara Morandini,,Zoologia
Estudo dos Determinantes da Saúde Coletiva,FURB,Luciana Bisio Mattos,Luana Gabriele Nilson,Odontologia
Estudo dos efeitos de produtos naturais e substâncias endógenas no desenvolvimento de leucócitos,UFF,Luciana Souza de Paiva,,Imunologia
Estudo dos efeitos do processo de envelhecimento na cavidade oral,UNIGRANRIO,Cláudia Maria Pereira,,Genética
"Estudo dos Fenômenos de Cavitação e Assuntos Correlatos: Erosão por Cavitação, Sonoluminescência e Escoamentos Bifásicos.",UDESC,Gil Bazanini,,Engenharia Mecânica
Estudo dos mecanismos de morte da célula beta pancreática,USP,Fernanda Ortis,,Bioquímica
Estudo dos mecanismos moleculares e celulares em transtornos mentais: estudos clínicos e modelos animais,UNIFESP,Mirian Akemi Furuie Hayashi,,Medicina
Estudo dos processos patológicos gerais.,UFJF,Letícia Coutinho Lopes Moura,,Saúde Coletiva
"Estudo dos Riscos, Segurança e Qualidade em Saúde (RISQUES)",UNEB,Eliana Auxiliadora Magalhães Costa,Rosana Freitas Azevedo,Saúde Coletiva
Estudo e Aplicação de Tecnologia de Materiais para o Desenvolvimento do Ambiente Construído,UFPE,Arnaldo Manoel Pereira Carneiro,,Engenharia Civil
Estudo e caracterização de documentos em suporte de papel,USP,Phablo Roberto Marchis Fachin,,Letras
Estudo e Desenvolvimento de Métodos Analíticos mediante Técnicas de Plasma,UFRGS,Dirce Pozebon,,Química
Estudo e Desenvolvimento de Práticas Experimentais de Eletrônica de Potência,UniAcademia,Fernando José Nogueira,,Engenharia Elétrica
Estudo e desenvolvimento de processos para soluções de problemas do meio ambiente,UFCG,Kepler Borges França,,Engenharia Química
Estudo e manejo de fitopatógenos causadores de murcha e manchas foliares em essências florestais,UNESP,Ana Carolina Firmino,,Recursos Florestais e Engenharia Florestal
Estudo e Modelagem de Elementos e Sistemas Estruturais,UFRN,Petrus Gorgônio Bulhões da Nóbrega,Selma Hissae Shimura da Nóbrega,Engenharia Civil
Estudo e pesquisa da Funcionalidade,UNEB,Fernanda Warken Rosa Camelier,Roberto Rodrigues Bandeira Tosta Maciel,Fisioterapia e Terapia Ocupacional
"ESTUDO E PESQUISA DAS PRÁTICAS CLÍNICAS EM PSICOLOGIA: pressupostos, transformações e interfaces",PUC/SP,Marlise Aparecida Bassani,,Psicologia
"Estudo e pesquisa em alimentos, alimentação coletiva e segurança alimentar",MACKENZIE,Mônica Glória Neumann Spinelli,Andrea Carvalheiro Guerra Matias,Nutrição
Estudo e Pesquisa em Aplicações Multidisciplinares com o GNSS,UNIVAP,Marcio Tadeu de Assis Honorato Muella,,Engenharia Elétrica
Estudo e Pesquisa em Didática da Matemática,IFPE,Fernando Emilio Leite de Almeida,,Educação
Estudo e Pesquisa em Didática da Matemática,IFPE,Fernando Emilio Leite de Almeida,,Educação
Estudo e Pesquisa em Economia Internacional,UFAM,Diogo Del Fiori,Mauro Thury de Vieira Sá,Economia
Estudo e pesquisa em Educação Matemática: formação de professores e ensino de matemática,UNEMAT,Josimar de Sousa,Ivete Cevallos,Educação
Estudo e Pesquisa em Eletroquímica e Energia,UFAM,Raimundo Ribeiro Passos,,Química
Estudo e Pesquisa em Matemática e Ensino de Matemática,UFOB,Edvaldo Elias de Almeida Batista,Edwin Oswaldo Salinas Reyes,Matemática
Estudo e pesquisa em prótese dentária convencional e sobre implante,UNESP,Wirley Gonçalves Assunção,,Odontologia
ESTUDO E PESQUISA EM TECNOLOGIAS EDUCACIONAIS,UECE,Jones Baroni Ferreira de Menezes,,Educação
Estudo e Pesquisa na Clínica Fonoaudiológica,UNICEUMA,Monique Kelly Duarte Lopes Barros,Francisca Laura Ferreira de Sousa Alves,Fonoaudiologia
Estudo e pesquisa no ensino de química da UFRR,UFRR,Viviane de Araújo Cardoso,,Química
Estudo e Pesquisas em Sistemas Produtivos Sustentáveis Para o Semiárido,UEPB,Elaine Gonçalves Rech,,Agronomia
Estudo e Trabalho Integrado ao Ensino e Serviço em Saúde,UFS,Gisele Pedroso Moi,Liliádia da Silva Oliveira Barreto,Saúde Coletiva
"Estudo em Animais Domésticos, Exóticos e Silvestres",UFPI,Tania Vasconcelos Cavalcante,Mônica Arrivabene,Medicina Veterinária
Estudo em Compósitos Cimentícios Especiais e Mecânica da Fratura Não Linear,UNIFEI,Valquíria Claret dos Santos,Paulo Cesar Gonçalves,Engenharia Civil
Estudo em doenças vasculares,UFSCAR,Michel Nasser,,Medicina
Estudo em GestÃ£o Organizacional,UNOESC,Plinio Antônio Silveira,Artemio Trintinaglia,Administração
Estudo em Horticultura Irrigada (GEHIRR),IFMT,José Antonio do Vale Sant'Ana,Hellenn Thallyta Alves e Mendes,Engenharia Agrícola
Estudo em Línguas para Fins Específicos - GELFE,IFSP,Fernanda Goulart,,Lingüística
"Estudo epidemiológico clínico e terapia nutricional dos pacientes oncológicos assistidos em baixa, média e alta complexidade",UFPA,Maria Auxiliadora Menezes de Souza,,Nutrição
ESTUDO EPIDEMIOLOGICO DE DOENÇAS CARDIOVASCULARES EM CIDADES LITORÂNEAS COM ATIVIDADE PORTUÁRIA E PETROQUÍMICA,UNIMES,Gustavo Duarte Mendes,,Medicina
Estudo epidemiológico de parada cardíaca e mortalidade na anestesia e cirurgia,UNESP,Leandro Gobbo Braz,Jose Reinaldo Cerqueira Braz,Medicina
Estudo epidemiológico na área de doenças infecciosas e/ou sexualmente transmissíveis em cidades litorâneas com atividade portuária e petroquímica,UNIMES,Gustavo Duarte Mendes,,Medicina
"Estudo etnofarmacológico, químico e atividades biológicas de espécies vegetais da flora brasileira",UFJF,Luciana Moreira Chedier,,Botânica
Estudo farmacoquímico de plantas medicinais e fitoterápicos das Farmácias Vivas com base no acervo científico do Prof. Francisco José de Abreu Matos,UFC,Mary Anne Medeiros Bandeira,,Farmácia
Estudo fitoquímico de espécies de Aristolochiaceae e Pontederiaceae ocorrentes no Brasil,UNESP,Isabele Rodrigues Nascimento,,Química
"Estudo Florístico, Fitossociológico e do Sequestro de Carbono no Sul do Ceará.",URCA,João Tavares Calixto Júnior,,Botânica
"Estudo Genético, Molecular e Imunológico sobre arbovírus e outros vírus zoonóticos",IEC,Ana Cecília Ribeiro Cruz,Daniele Barbosa de Almeida Medeiros,Microbiologia
"Estudo interdisciplinar de fármacos, medicamentos, fitoterápicos, cosméticos e alimentos funcionais",UNIARARAS,Daniele Michelin Paganotte,,Farmácia
Estudo Interdisciplinar em Plantas Medicinais,UFOB,Andreia Barroncas de Oliveira,Pablinny Moreira Galdino de Carvalho,Farmácia
Estudo LapARC,UNESA,Elizabeth Silaid Muxfeldt,Inah Maria Drummond Pecly,Medicina
Estudo Linguístico de Línguas Faladas e Sinalizadas no Brasil,UFMT,Rogério Vicente Ferreira,,Lingüística
Estudo Marxista de Valores Adicionados,UFU,Leonardo Segura Moraes,Raquel de Azevedo,Economia
Estudo morfo-molecular das neoplasias,FCMSCSP,Fabiola Del Carlo Bernardi,Fabiana Toledo Bueno Pereira,Medicina
Estudo Multidisciplinar de Gestão,Claretianorc,Mateus Colabone Neto,,Administração
Estudo multidisciplinar em Agroecologia e Saúde - (EMAS),UERR,Elaine Cristina Morari,,Ciências Ambientais
Estudo Químico de Liquens,UFMS,Ana Camila Micheletti,Neli Kika Honda,Química
Estudo Químico e Biológico de Espécies Vegetais e de fungos endofiticos associados a Eriocaulaceae,UNESP,Lourdes Campaner dos Santos,Wagner Vilegas,Química
Estudo químico e biológico de substâncias bioativas,FURB,Ana Lúcia Bertarello Zeni,,Bioquímica
Estudo Químico e Farmacológico de Produtos Naturais,UFJF,Elita Scio Fontes,,Química
Estudo químico-biológico de insumos farmacêuticos ativos vegetais,UNESP,André Gonzaga dos Santos,,Farmácia
ESTUDO SOBRE A FUNÇÃO RENAL DE IDOSOS E A PREVENÇÃO DOS FATORES ASSOCIADOS COM A LESÃO RENAL,UNIMES,Gustavo Duarte Mendes,,Medicina
"Estudo sobre condições de vida, saúde e fatores de risco para doenças cardiovasculares e respiratórias",UFCG,Elisangela Vilar de Assis,,Medicina
Estudo sobre Dengue,ESCS,Eveline Fernandes Nascimento Vale,,Medicina
"Estudo, Caracterização e Desenvolvimento de Novos Materiais",UNEB,Tereza Cristina de Farias Guimarães,Arnaud Victor dos Santos,Engenharia de Materiais e Metalúrgica
"Estudo, pesquisa e extensão em recursos naturais, culturais e de sistema de computação",IFPA,Keila Renata Moreira Mourão,Camila Vieira da Silva,Ciências Ambientais
"Estudo, Pesquisa e Extensão numa perspectiva endógena.",UFMT,Alexandro Rodrigues Ribeiro,Anderson Nunes de Carvalho Vieira,Economia
Estudos de substâncias naturais/sintéticas e de PICS em modelos animais envolvendo neuropsicofarmacologia,UFSM,Marilise Escobar Burger,,Farmacologia
Estudos (Sócio)Linguísticos e de Integração de Culturas na América Latina,UNILA,Francisca Paula Soares Maia,Diego Chozas Ruiz-Belloso,Letras
Estudos Africanos,UFF,Marcelo Bittencourt Ivair Pinto,,História
Estudos Africanos e Epistemologias do Sul,UNILAB,Ricardo Ossagô de Carvalho,Michelle Cirne Ilges,Sociologia
Estudos Agrários,UFMS,Rosemeire Aparecida de Almeida,Sedeval Nardoque,Geografia
Estudos Agrários e Ambientais,UFPEL,Giancarla Salamoni,,Geografia
Estudos Agroecológicos para o semi-árido,UFERSA,Paulo César Ferreira Linhares,Roberto Pequeno de Sousa,Agronomia
Estudos agronÃ´micos aplicados ao Sudoeste Goiano,IF Goiano,Nadson de Carvalho Pontes,,Agronomia
Estudos agronômicos e químico-farmacêutico da Cannabis medicinal para uso humano e veterinário,UFRRJ,Douglas Siqueira de Almeida Chaves,Ricardo Luiz Louro Berbara,Farmácia
Estudos Agronômicos no Médio Araguaia,UFMT,Glauco Vieira de Oliveira,Paulo Afonso Ferreira,Agronomia
Estudos Ambientais da Bacia Hidrográfica do rio Uruguai,UNOCHAPECO,Jacir Dal Magro,Elaine Maria Lucas Gonsales,Ecologia
Estudos Ambientais de Sistemas AquÃ¡ticos e Terrestres.,UDESC,Gilmar Conte,,Ciências Ambientais
ESTUDOS ANTIRRACISTAS EM COMUNICAÇÃO E CONSUMOS: ARC2,USP,Leandro Leonardo Batista,Francisco Vanildo Leite,Comunicação
Estudos ao redor de Pasolini,UNICAMP,Maria Betania Amoroso,,Letras
Estudos ao redor de Pasolini,UNICAMP,Maria Betania Amoroso,,Letras
Estudos aplicados à Ortodontia e Ortopedia Facial,UNIP,Cristina Lucia Feijo Ortolani,,Odontologia
Estudos Aplicados ao Complexo Craniofacial,UFC,Fábio Wildson Gurgel Costa,Thyciana Rodrigues Ribeiro,Odontologia
Estudos aplicados às ciências odontológicas,UNISA,Patricia Gabriela Viana Mantoanelli,,Odontologia
Estudos aplicados Ã  pacientes portadores de necessidades especiais,UNIP,Elcio Magdalena Giovani,,Odontologia
Estudos Aplicados em Arquitetura e Urbanismo,IFBA,Jurema Moreira Cavalcanti,Delânia Santos Azevedo,Arquitetura e Urbanismo
Estudos Aplicados em Inovação e Empreendedorismo no Agronegócio - NUPA,IFNMG,Paulo Eduardo Ferreira dos Santos,,Zootecnia
Estudos Aplicados em Plantas Medicinais e Produtos Naturais,UNASP,Alanny Bahia de Oliveira da Rocha,,Farmácia
Estudos Arquivísticos em Documentos e Registros Digitais (EADRD),UFPB,Julianne Teixeira e Silva,Rosa Zuleide Lima de Brito,Ciência da Informação
Estudos Asiáticos,UnB,Marcus Vinicius de Lira Ferreira Tanaka,Kaoru Tanaka de Lira Ferreira,Letras
Estudos Avançados em Meio Ambiente e Economia no Direito Internacional - EMAE,UFSC,Cristiane Derani,,Direito
Estudos Avançados de Prática e Teoria em Mediação,UNIFESP,Ísis Boll de Araujo Bastos,,Direito
Estudos Avançados e Aplicados de Estratégia (ESAE),UNIFOR,Sérgio Henrique Arruda Cavalcante Forte,,Administração
Estudos Avançados em Ciência de Dados e Engenharia de Software,UFAL,Davy de Medeiros Baia,André Magno Costa de Araujo,Ciência da Computação
Estudos Avançados em Ciência de Dados e Engenharia de Software,UFAL,Davy de Medeiros Baia,André Magno Costa de Araujo,Ciência da Computação
Estudos avançados em Ciências Cardiovasculares Congênitas (EACC),INC,Denoel Marcelino de Oliveira,Paulo Artur de Araujo Amorim,Medicina
Estudos Avançados em Ciências do Movimento e Reabilitação,UFMS,Silvio Assis de Oliveira Júnior,Paula Felippe Martinez,Fisioterapia e Terapia Ocupacional
Estudos Avançados em Ciências Médicas,UFF,Carlos Alberto Araujo Chagas,,Medicina
ESTUDOS AVANÇADOS EM DIREITO EMPRESARIAL,UNIVALI,Roberto Epifanio Tomaz,,Direito
Estudos avançados em Endocrinologia,UFJF,Lize Vargas Ferreira,Christianne Toledo de Souza Leal,Medicina
Estudos avançados em estatística e geoestatística aplicados ao manejo florestal,UFPR,Allan Libanio Pelissari,,Recursos Florestais e Engenharia Florestal
Estudos avançados em Estomatologia e Patologia Oral e Maxilofacial,UFPR,Juliana Lucena Schussel,,Odontologia
Estudos avançados em Estomatopatologia,UFMA,Erika Martins Pereira,,Odontologia
Estudos Avançados em Gestão,IFPA,Alessandro de Castro Corrêa,Francisco do Nascimento Felix,Administração
Estudos Avançados em Gestão e Negócios (EAGeN),IFPI,Liária Nunes da Silva,,Administração
Estudos Avançados em Horticultura,UEM,Paulo Sérgio Lourenço de Freitas,,Agronomia
Estudos Avançados em Meio Ambiente e Economia no Direito Internacional - EMAE,UFSC,Cristiane Derani,,Direito
Estudos avançados em parasitas gastrintestinais de pequenos ruminantes e resistência à anti-helmínticos.,EMBRAPA,Jomar Patrício Monteiro,,Biotecnologia
Estudos Avançados em Poluição Atmosférica e Geoquímica Ambiental (ProPAGA),UnB,Poliana Dutra Maia,Fernando Fabriz Sodré,Geociências
ESTUDOS AVANÇADOS EM PROCESSO CIVIL,UNIVALI,Emanuela Cristina Andrade Lacerda,,Direito
Estudos avançados em química de produtos Naturais e Biodiversidade,UTFPR,Ivonei Ottobelli,Cristhiane Rohde,Química
Estudos Avançados em Tecnologias Ambientais,UFCG,Madson Tavares Silva,João Hugo Baracuy da Cunha Campos,Agronomia
Estudos Baldwinianos,IFES,Janderson Albino Coswosk,,Letras
Estudos Básicos e Aplicados em Zoologia,UNISC,Andreas Kohler,Diego Prado de Vargas,Zoologia
Estudos baudelairianos no Brasil,UFSC,Gilles Jean Abes,Eduardo Horta Nassif Veras,Letras
Estudos bibliométricos e redes sociais em Contabildade,UEPB,Lílian Perobon Mazzer,,Ciência da Informação
Estudos Biológicos e Clínicos em Patologias Humanas,UFFS,Margarete Dulce Bagatini,Zuleide Maria Ignácio,Bioquímica
"Estudos bioquimicos da Na,K-ATPase e sua interaÃ§Ã£o com membrana e stress oxidativo",UFSJ,Leandro Augusto de Oliveira Barbosa,Hérica de Lima Santos,Bioquímica
Estudos bioquimicos e moleculares da função mitocondrial em células de mamíferos e microrganismos,USP,Sergio Akira Uyemura,,Bioquímica
"Estudos biotecnológicos para a produção e conservação in vitro de espécies vegetais de interesse agronômico, ornamental e medicinal - UERJ",UERJ,Georgia Pacheco Peters de Almeida,,Botânica
Estudos Botânicos,UFPB,Maria Regina de Vasconcellos Barbosa,,Botânica
"Estudos clínico-epidemiológicos, fenotípicos e moleculares de micro-organismos respiratórios e sistêmicos",UNICEUMA,Priscila Soares Sabbadini,,Microbiologia
